PR_AUC,ROC_AUC,Precision,Recall,F1,TP,FP,TN,FN,FPR,FNR,Rec_at_Prec80,Rec_at_Prec90,Prec_at_Rec80,Brier_Score,Model,Train_Time_Sec
0.874163,0.965572,0.954545,0.828947,0.887324,63,3,45317,13,6.6e-05,0.171053,0.868421,0.868421,0.955882,0.000332,Random Forest (Unweighted),12.05
0.860484,0.959947,0.913043,0.828947,0.868966,63,6,45314,13,0.000132,0.171053,0.855263,0.855263,0.938462,0.000477,Random Forest (Balanced),8.57
0.824424,0.970541,0.925926,0.657895,0.769231,50,4,45316,26,8.8e-05,0.342105,0.815789,0.671053,0.824324,0.000574,Logistic Regression (Unweighted),0.5
0.816436,0.957125,0.460993,0.855263,0.599078,65,76,45244,11,0.001677,0.144737,0.842105,0.815789,0.925373,0.002131,HistGradientBoosting (Class-Weighted),0.62
0.813413,0.974776,0.05427,0.894737,0.102333,68,1185,44135,8,0.026147,0.105263,0.0,0.0,0.755814,0.022978,Logistic Regression (Balanced),0.91
0.804731,0.956365,0.573913,0.868421,0.691099,66,49,45271,10,0.001081,0.131579,0.868421,0.763158,0.871429,0.002537,Random Forest (1:10 Train Undersampling),0.85
0.631525,0.859358,0.619565,0.75,0.678571,57,35,45285,19,0.000772,0.25,0.0,0.0,0.0,0.001263,HistGradientBoosting (Unweighted),1.85
0.001674,0.5,0.0,0.0,0.0,0,0,45320,76,0.0,1.0,0.0,0.0,0.0,0.001674,Dummy (Most Frequent),0.01
0.001674,0.499217,0.0,0.0,0.0,0,71,45249,76,0.001567,1.0,0.0,0.0,0.0,0.003238,Dummy (Stratified),0.01
